,Geneid,Chr,Start,End,Strand,Length,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam,sampleTreat_1.sam.tpm,sampleTreat_2.sam.tpm,sampleTreat_3.sam.tpm,sampleCtrl_1.sam.tpm,sampleCtrl_2.sam.tpm,sampleCtrl_3.sam.tpm,sampleTreat_1.sam.cpm,sampleTreat_2.sam.cpm,sampleTreat_3.sam.cpm,sampleCtrl_1.sam.cpm,sampleCtrl_2.sam.cpm,sampleCtrl_3.sam.cpm
19,YPK_0020,NC_010465,23510,23965,-,456,0,2,0,2,1,1,0.0,94.9879,0.0,119.1486,56.982,72.5267,0.0,60.7128,0.0,76.7342,36.6892,44.7407
20,YPK_0021,NC_010465,23962,24534,-,573,0,0,0,0,1,0,0.0,0.0,0.0,0.0,45.347,0.0,0.0,0.0,0.0,0.0,36.6892,0.0
21,YPK_0022,NC_010465,24881,25795,+,915,4,1,4,2,2,4,97.1553,23.6691,97.2619,59.379,56.7952,144.5777,118.8107,30.3564,130.4164,76.7342,73.3783,178.9629
22,YPK_0023,NC_010465,25805,27874,+,2070,21,11,22,7,18,10,225.4637,115.0868,236.4592,91.8653,225.9462,159.7689,623.7562,333.9202,717.2899,268.5697,660.405,447.4073
23,YPK_0024,NC_010465,28022,28252,+,231,5,7,8,1,5,4,481.045,656.28,770.5165,117.6012,562.4201,572.678,148.5134,212.4947,260.8327,38.3671,183.4458,178.9629
24,YPK_0025,NC_010465,28347,29066,+,720,18,8,8,4,8,0,555.607,240.636,247.2074,150.9215,288.709,0.0,534.6482,242.8511,260.8327,153.4684,293.5134,0.0
25,YPK_0026,NC_010465,29548,31479,+,1932,0,4,1,23,34,15,0.0,44.839,11.5159,323.4033,457.272,256.7714,0.0,121.4255,32.6041,882.4432,1247.4318,671.1109
26,YPK_0027,NC_010465,31616,32779,+,1164,2,2,7,8,25,5,38.186,37.2118,133.7978,186.707,558.0715,142.0625,59.4054,60.7128,228.2286,306.9368,917.2292,223.7036
27,YPK_0028,NC_010465,32986,33540,+,555,0,1,0,1,5,1,0.0,39.0221,0.0,48.9475,234.0884,59.5895,0.0,30.3564,0.0,38.3671,183.4458,44.7407
28,YPK_0029,NC_010465,33619,33741,+,123,0,1,0,0,2,0,0.0,176.0751,0.0,0.0,422.501,0.0,0.0,30.3564,0.0,0.0,73.3783,0.0
29,YPK_0030,NC_010465,33789,34145,+,357,15,11,14,14,26,14,933.7932,667.3099,872.4967,1065.3284,1892.3783,1296.9473,445.5401,333.9202,456.4572,537.1393,953.9184,626.3702
30,YPK_0031,NC_010465,34308,34784,-,477,12,5,7,2,0,2,559.1014,227.0151,326.5003,113.903,0.0,138.6673,356.4321,151.7819,228.2286,76.7342,0.0,89.4815
31,YPK_0032,NC_010465,35145,35240,+,96,1,0,0,0,0,0,231.5029,0.0,0.0,0.0,0.0,0.0,29.7027,0.0,0.0,0.0,0.0,0.0
32,YPK_0033,NC_010465,35316,35600,-,285,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,YPK_0034,NC_010465,35838,37787,-,1950,0,0,2,0,0,0,0.0,0.0,22.8191,0.0,0.0,0.0,0.0,0.0,65.2082,0.0,0.0,0.0
34,YPK_0035,NC_010465,38131,38754,-,624,8,2,8,10,8,10,284.9267,69.4142,285.2393,435.3505,333.1258,530.0025,237.6214,60.7128,260.8327,383.671,293.5134,447.4073
35,YPK_0036,NC_010465,39189,40013,-,825,8,6,16,6,8,5,215.5082,157.5072,431.4893,197.57,251.9642,200.4373,237.6214,182.1383,521.6654,230.2026,293.5134,223.7036
36,YPK_0037,NC_010465,40210,40797,+,588,8,9,34,7,9,3,302.3711,331.4884,1286.4874,323.4033,397.7114,168.7355,237.6214,273.2075,1108.539,268.5697,330.2025,134.2222
37,YPK_0038,NC_010465,40846,43257,+,2412,9,8,9,4,19,3,82.9264,71.8316,83.0174,45.0512,204.6818,41.1345,267.3241,242.8511,293.4368,153.4684,697.0942,134.2222
38,YPK_0039,NC_010465,43270,44241,+,972,7,11,1,1,7,2,160.0514,245.0922,22.8896,27.9484,187.1262,68.0497,207.9187,333.9202,32.6041,38.3671,256.8242,89.4815
39,YPK_0040,NC_010465,44238,44912,+,675,1,2,0,3,2,3,32.9249,64.1696,0.0,120.7372,76.9891,146.9874,29.7027,60.7128,0.0,115.1013,73.3783,134.2222
40,YPK_0041,NC_010465,44912,45841,+,930,6,8,4,4,4,4,143.3824,186.2988,95.6932,116.8425,111.7583,142.2458,178.2161,242.8511,130.4164,153.4684,146.7567,178.9629
41,YPK_0042,NC_010465,46025,47413,+,1389,6,2,0,3,2,2,96.0012,31.1839,0.0,58.6736,37.4137,47.6201,178.2161,60.7128,0.0,115.1013,73.3783,89.4815
42,YPK_0043,NC_010465,47410,49383,+,1974,2,4,4,0,2,3,22.517,43.885,45.0834,0.0,26.326,50.2616,59.4054,121.4255,130.4164,0.0,73.3783,134.2222
43,YPK_0044,NC_010465,50142,50474,+,333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,YPK_0045,NC_010465,50488,51036,-,549,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,YPK_0046,NC_010465,51024,51209,-,186,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,YPK_0047,NC_010465,51330,51533,+,204,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,YPK_0048,NC_010465,51682,52911,-,1230,4,0,4,0,2,4,72.2741,0.0,72.3534,0.0,42.2501,107.5517,118.8107,0.0,130.4164,0.0,73.3783,178.9629
48,YPK_0049,NC_010465,53310,53477,+,168,1,4,4,0,3,1,132.2874,515.6486,529.7301,0.0,463.9966,196.8581,29.7027,121.4255,130.4164,0.0,110.0675,44.7407
49,YPK_0050,NC_010465,53772,54764,+,993,4,0,4,0,4,1,89.5238,0.0,89.622,0.0,104.6679,33.3053,118.8107,0.0,130.4164,0.0,146.7567,44.7407
50,YPK_0051,NC_010465,55655,56212,+,558,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,YPK_0052,NC_010465,56288,58786,+,2499,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,YPK_0053,NC_010465,58879,59646,+,768,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,YPK_0054,NC_010465,59685,60671,+,987,2,2,0,0,0,0,45.034,43.885,0.0,0.0,0.0,0.0,59.4054,60.7128,0.0,0.0,0.0,0.0
54,YPK_0055,NC_010465,60770,62224,-,1455,11,4,4,4,12,2,168.0186,59.5388,61.1647,74.6828,214.2995,45.46,326.7294,121.4255,130.4164,153.4684,440.27,89.4815
55,YPK_0056,NC_010465,62348,63667,-,1320,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,25.0547,0.0,0.0,0.0,0.0,0.0,44.7407
56,YPK_0057,NC_010465,64130,65125,+,996,0,2,0,0,0,0,0.0,43.4884,0.0,0.0,0.0,0.0,0.0,60.7128,0.0,0.0,0.0,0.0
57,YPK_0058,NC_010465,65333,66865,+,1533,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,YPK_0059,NC_010465,66852,68036,+,1185,0,2,0,0,0,0,0.0,36.5523,0.0,0.0,0.0,0.0,0.0,60.7128,0.0,0.0,0.0,0.0
59,YPK_0060,NC_010465,68126,69319,+,1194,0,2,2,0,4,0,0.0,36.2768,37.2674,0.0,87.0479,0.0,0.0,60.7128,65.2082,0.0,146.7567,0.0
60,YPK_0061,NC_010465,69706,70896,+,1191,6,3,0,2,6,2,111.9611,54.5522,0.0,45.6186,130.9008,55.5368,178.2161,91.0692,0.0,76.7342,220.135,89.4815
61,YPK_0062,NC_010465,71077,72345,+,1269,2,1,0,0,0,0,35.0264,17.0664,0.0,0.0,0.0,0.0,59.4054,30.3564,0.0,0.0,0.0,0.0
62,YPK_0063,NC_010465,72381,73151,-,771,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,YPK_0064,NC_010465,73144,74259,-,1116,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,YPK_0065,NC_010465,74300,75067,-,768,0,0,4,2,0,1,0.0,0.0,115.8785,70.7445,0.0,43.0627,0.0,0.0,130.4164,76.7342,0.0,44.7407
65,YPK_0066,NC_010465,75549,75815,+,267,4,4,2,6,2,4,332.948,324.453,166.6567,610.4691,194.6353,495.463,118.8107,121.4255,65.2082,230.2026,73.3783,178.9629
66,YPK_0067,NC_010465,75893,76648,+,756,12,6,10,2,2,8,352.7663,171.8829,294.2945,71.8674,68.7402,349.9699,356.4321,182.1383,326.0409,76.7342,73.3783,357.9258
67,YPK_0068,NC_010465,76836,77594,-,759,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,YPK_0069,NC_010465,77591,78598,-,1008,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,32.8097,0.0,0.0,0.0,0.0,0.0,44.7407
69,YPK_0070,NC_010465,78588,79547,-,960,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,68.9003,0.0,0.0,0.0,0.0,0.0,89.4815
70,YPK_0071,NC_010465,79557,80510,-,954,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,YPK_0072,NC_010465,81033,82277,-,1245,6,0,0,0,0,0,107.105,0.0,0.0,0.0,0.0,0.0,178.2161,0.0,0.0,0.0,0.0,0.0
72,YPK_0073,NC_010465,82279,83208,-,930,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,YPK_0074,NC_010465,83291,83839,-,549,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,YPK_0075,NC_010465,83832,84155,-,324,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,YPK_0076,NC_010465,84883,86574,+,1692,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,YPK_0077,NC_010465,86571,88103,+,1533,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,YPK_0078,NC_010465,88470,89873,+,1404,0,0,2,0,0,0,0.0,0.0,31.6933,0.0,0.0,0.0,0.0,0.0,65.2082,0.0,0.0,0.0
78,YPK_0079,NC_010465,90341,91804,+,1464,0,2,2,0,4,1,0.0,29.5864,30.3944,0.0,70.994,22.5903,0.0,60.7128,65.2082,0.0,146.7567,44.7407
79,YPK_0080,NC_010465,92315,94006,+,1692,6,0,0,1,2,1,78.8095,0.0,0.0,16.0555,30.7137,19.5462,178.2161,0.0,0.0,38.3671,73.3783,44.7407
80,YPK_0081,NC_010465,94122,94712,+,591,6,3,0,0,1,0,225.6272,109.9352,0.0,0.0,43.9658,0.0,178.2161,91.0692,0.0,0.0,36.6892,0.0
81,YPK_0082,NC_010465,94709,96238,+,1530,1,2,3,2,10,3,14.5257,28.3101,43.6248,35.5109,169.8288,64.8474,29.7027,60.7128,97.8123,76.7342,366.8917,134.2222
82,YPK_0083,NC_010465,96333,97664,+,1332,6,2,14,2,6,3,100.1094,32.5184,233.8448,40.7896,117.0442,74.4868,178.2161,60.7128,456.4572,76.7342,220.135,134.2222
83,YPK_0085,NC_010465,98170,99561,+,1392,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,YPK_0086,NC_010465,99670,101433,+,1764,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,YPK_0087,NC_010465,101493,101699,+,207,0,1,0,0,0,0,0.0,104.6244,0.0,0.0,0.0,0.0,0.0,30.3564,0.0,0.0,0.0,0.0
86,YPK_0088,NC_010465,102102,103709,+,1608,6,1,8,11,10,3,82.9264,13.4684,110.6899,185.8362,161.5909,61.7018,178.2161,30.3564,260.8327,422.0381,366.8917,134.2222
87,YPK_0089,NC_010465,103992,105011,+,1020,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,32.4237,0.0,0.0,0.0,0.0,0.0,44.7407
88,YPK_0090,NC_010465,105022,105924,+,903,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,109.8743,0.0,0.0,0.0,0.0,0.0,134.2222
89,YPK_0091,NC_010465,105938,106918,+,981,4,2,0,0,4,2,90.6189,44.1534,0.0,0.0,105.9483,67.4254,118.8107,60.7128,0.0,0.0,146.7567,89.4815
90,YPK_0092,NC_010465,106915,107991,+,1077,1,0,2,1,0,0,20.6354,0.0,41.316,25.2237,0.0,0.0,29.7027,0.0,65.2082,38.3671,0.0,0.0
91,YPK_0093,NC_010465,108109,109224,+,1116,1,0,4,1,2,3,19.9142,0.0,79.7443,24.3422,46.566,88.9036,29.7027,0.0,130.4164,38.3671,73.3783,134.2222
92,YPK_0094,NC_010465,109540,111555,+,2016,14,4,7,6,7,5,154.3353,42.9707,77.2523,80.8508,90.2216,82.0242,415.8375,121.4255,228.2286,230.2026,256.8242,223.7036
93,YPK_0095,NC_010465,112196,112900,+,705,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,YPK_0096,NC_010465,113146,114864,+,1719,4,4,2,0,0,0,51.7144,50.395,25.8856,0.0,0.0,0.0,118.8107,121.4255,65.2082,0.0,0.0,0.0
95,YPK_0097,NC_010465,114989,115468,+,480,0,0,0,2,0,4,0.0,0.0,0.0,113.1911,0.0,275.6013,0.0,0.0,0.0,76.7342,0.0,178.9629
96,YPK_0098,NC_010465,115940,117229,+,1290,2,2,3,0,0,1,34.4562,33.5771,51.7411,0.0,0.0,25.6373,59.4054,60.7128,97.8123,0.0,0.0,44.7407
97,YPK_0099,NC_010465,117291,117407,-,117,5,0,6,0,0,1,949.7555,0.0,1140.9572,0.0,0.0,282.668,148.5134,0.0,195.6245,0.0,0.0,44.7407
98,YPK_0100,NC_010465,117594,119093,+,1500,23,10,8,4,8,4,340.7723,144.3816,118.6595,72.4423,138.5803,88.1924,683.1616,303.5638,260.8327,153.4684,293.5134,178.9629
99,YPK_0101,NC_010465,119257,120201,-,945,13,4,4,9,0,8,305.7308,91.6709,94.1742,258.7226,0.0,279.9759,386.1348,121.4255,130.4164,345.3039,0.0,357.9258
100,YPK_0102,NC_010465,120480,120680,-,201,0,0,0,1,0,2,0.0,0.0,0.0,135.1536,0.0,329.0762,0.0,0.0,0.0,38.3671,0.0,89.4815
101,YPK_0103,NC_010465,120899,121744,+,846,0,6,1,8,0,3,0.0,153.5975,26.2987,256.8877,0.0,117.2771,0.0,182.1383,32.6041,306.9368,0.0,134.2222
102,YPK_0104,NC_010465,122049,124268,+,2220,0,0,6,0,0,1,0.0,0.0,60.1315,0.0,0.0,14.8974,0.0,0.0,195.6245,0.0,0.0,44.7407
103,YPK_0105,NC_010465,124273,125070,-,798,13,2,0,7,0,3,362.0497,54.2788,0.0,238.2971,0.0,124.3314,386.1348,60.7128,0.0,268.5697,0.0,134.2222
104,YPK_0106,NC_010465,125074,126174,-,1101,2,0,0,2,0,1,40.3711,0.0,0.0,49.3476,0.0,30.0383,59.4054,0.0,0.0,76.7342,0.0,44.7407
105,YPK_0107,NC_010465,126853,130065,+,3213,0,0,2,0,0,1,0.0,0.0,13.8492,0.0,0.0,10.2932,0.0,0.0,65.2082,0.0,0.0,44.7407
106,YPK_0108,NC_010465,130167,131036,+,870,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,YPK_0109,NC_010465,131023,131526,+,504,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,YPK_0110,NC_010465,131595,132101,+,507,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,YPK_0111,NC_010465,132347,133483,-,1137,0,2,0,0,0,0,0.0,38.0954,0.0,0.0,0.0,0.0,0.0,60.7128,0.0,0.0,0.0,0.0
110,YPK_0112,NC_010465,133494,134762,-,1269,0,2,0,0,2,0,0.0,34.1328,0.0,0.0,40.9516,0.0,0.0,60.7128,0.0,0.0,73.3783,0.0
111,YPK_0113,NC_010465,134940,136067,-,1128,2,0,2,0,0,0,39.4047,0.0,39.448,0.0,0.0,0.0,59.4054,0.0,65.2082,0.0,0.0,0.0
112,YPK_0114,NC_010465,136278,137630,-,1353,4,6,6,4,2,5,65.7037,96.041,98.6637,80.313,38.4092,122.2179,118.8107,182.1383,195.6245,153.4684,73.3783,223.7036
113,YPK_0115,NC_010465,137798,138640,-,843,0,5,2,6,3,4,0.0,128.4534,52.7845,193.3514,92.4691,156.926,0.0,151.7819,65.2082,230.2026,110.0675,178.9629
114,YPK_0116,NC_010465,138969,141011,+,2043,10,1,6,5,17,4,108.7826,10.6007,65.3412,66.4853,216.2138,64.7521,297.0268,30.3564,195.6245,191.8355,623.7159,178.9629
115,YPK_0117,NC_010465,141015,141785,+,771,6,0,5,2,0,1,172.9516,0.0,144.2845,70.4692,0.0,42.8951,178.2161,0.0,163.0204,76.7342,0.0,44.7407
116,YPK_0118,NC_010465,141850,143184,-,1335,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,YPK_0119,NC_010465,143432,144775,-,1344,30,32,50,18,36,26,496.0777,515.6486,827.7033,363.8287,695.9949,639.7887,891.0803,971.4043,1630.2044,690.6077,1320.8101,1163.2589
118,YPK_0120,NC_010465,145022,145468,-,447,67,77,71,28,56,18,3331.1559,3730.6656,3533.9043,1701.6654,3255.2424,1331.7647,1990.0793,2337.4416,2314.8903,1074.2787,2054.5935,805.3331
119,YPK_0121,NC_010465,146159,146494,+,336,0,4,0,2,0,0,0.0,257.8243,0.0,161.7016,0.0,0.0,0.0,121.4255,0.0,76.7342,0.0,0.0
120,YPK_0122,NC_010465,146641,148236,-,1596,6,14,2,2,6,4,83.5499,189.9758,27.8805,34.0424,97.6835,82.8876,178.2161,424.9894,65.2082,76.7342,220.135,178.9629
121,YPK_0123,NC_010465,148262,149644,+,1383,0,1,2,0,2,1,0.0,15.6596,32.1745,0.0,37.576,23.9133,0.0,30.3564,65.2082,0.0,73.3783,44.7407
122,YPK_0124,NC_010465,149780,152335,-,2556,4,12,2,0,2,1,34.7798,101.6772,17.409,0.0,20.3316,12.939,118.8107,364.2766,65.2082,0.0,73.3783,44.7407
123,YPK_0125,NC_010465,152524,154047,+,1524,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,YPK_0126,NC_010465,154040,155032,+,993,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,YPK_0127,NC_010465,155063,156007,+,945,4,1,2,0,2,0,94.071,22.9177,47.0871,0.0,54.9922,0.0,118.8107,30.3564,65.2082,0.0,73.3783,0.0
126,YPK_0128,NC_010465,156082,156765,+,684,2,0,0,2,0,1,64.9833,0.0,0.0,79.4324,0.0,48.3511,59.4054,0.0,0.0,76.7342,0.0,44.7407
127,YPK_0129,NC_010465,156791,157651,+,861,6,7,1,2,5,2,154.873,176.0751,25.8405,63.1031,150.8932,76.8227,178.2161,212.4947,32.6041,76.7342,183.4458,89.4815
128,YPK_0130,NC_010465,157661,158668,+,1008,0,8,4,4,2,3,0.0,171.8829,88.2884,107.8011,51.5552,98.429,0.0,242.8511,130.4164,153.4684,73.3783,134.2222
129,YPK_0131,NC_010465,158743,159480,-,738,2,4,2,0,0,1,60.2284,117.3834,60.2945,0.0,0.0,44.8132,59.4054,121.4255,65.2082,0.0,0.0,44.7407
130,YPK_0132,NC_010465,159903,160115,+,213,0,0,2,2,0,1,0.0,0.0,208.9077,255.0786,0.0,155.2683,0.0,0.0,65.2082,76.7342,0.0,44.7407
131,YPK_0133,NC_010465,160244,160939,+,696,0,2,2,0,0,0,0.0,62.2334,63.9329,0.0,0.0,0.0,0.0,60.7128,65.2082,0.0,0.0,0.0
132,YPK_0134,NC_010465,161125,162063,+,939,0,2,0,0,3,0,0.0,46.1283,0.0,0.0,83.0154,0.0,0.0,60.7128,0.0,0.0,110.0675,0.0
133,YPK_0135,NC_010465,162155,163471,-,1317,0,0,2,0,3,0,0.0,0.0,33.7869,0.0,59.1886,0.0,0.0,0.0,65.2082,0.0,110.0675,0.0
134,YPK_0136,NC_010465,163688,164191,+,504,2,3,2,0,4,2,88.1916,128.9121,88.2884,0.0,206.2207,131.2387,59.4054,91.0692,65.2082,0.0,146.7567,89.4815
135,YPK_0137,NC_010465,164373,164606,+,234,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,YPK_0138,NC_010465,164797,164937,+,141,1,0,1,0,0,0,157.619,0.0,157.792,0.0,0.0,0.0,29.7027,0.0,32.6041,0.0,0.0,0.0
137,YPK_0139,NC_010465,164992,165381,+,390,4,0,1,0,0,0,227.9413,0.0,57.0479,0.0,0.0,0.0,118.8107,0.0,32.6041,0.0,0.0,0.0
138,YPK_0140,NC_010465,165566,166159,-,594,2,0,2,0,4,0,74.8292,0.0,74.9113,0.0,174.9751,0.0,59.4054,0.0,65.2082,0.0,146.7567,0.0
139,YPK_0141,NC_010465,166518,167621,+,1104,9,12,18,11,12,9,181.1762,235.4048,362.75,270.6745,282.4327,269.61,267.3241,364.2766,586.8736,422.0381,440.27,402.6665
140,YPK_0142,NC_010465,168356,168664,+,309,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,YPK_0143,NC_010465,168671,168958,+,288,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,YPK_0144,NC_010465,169116,169259,+,144,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,YPK_0145,NC_010465,170696,186709,+,16014,11,14,18,2,8,2,15.2658,18.9335,25.0079,3.3928,12.9805,4.1304,326.7294,424.9894,586.8736,76.7342,293.5134,89.4815
144,YPK_0146,NC_010465,186934,188631,-,1698,0,2,4,0,0,0,0.0,25.5091,52.4115,0.0,0.0,0.0,0.0,60.7128,130.4164,0.0,0.0,0.0
145,YPK_0147,NC_010465,189137,191320,+,2184,5,12,6,8,12,6,50.8798,118.9958,61.1227,99.5087,142.7682,90.8576,148.5134,364.2766,195.6245,306.9368,440.27,268.4444
